timestamp;buyer;seller;symbol;currency;price;quantity
1200;;;COCONUT_COUPON;SEASHELLS;617.0;15
1700;;;COCONUT;SEASHELLS;9983.0;2
1900;;;COCONUT;SEASHELLS;9982.0;9
2100;;;COCONUT_COUPON;SEASHELLS;616.0;13
2600;;;COCONUT;SEASHELLS;9985.0;5
4100;;;COCONUT_COUPON;SEASHELLS;612.0;12
5500;;;COCONUT_COUPON;SEASHELLS;609.0;9
5900;;;COCONUT;SEASHELLS;9978.0;5
7500;;;COCONUT;SEASHELLS;9978.0;6
8200;;;COCONUT_COUPON;SEASHELLS;600.0;4
9400;;;COCONUT_COUPON;SEASHELLS;601.0;20
10000;;;COCONUT_COUPON;SEASHELLS;605.0;11
10200;;;COCONUT_COUPON;SEASHELLS;603.0;14
10600;;;COCONUT_COUPON;SEASHELLS;604.0;8
11500;;;COCONUT;SEASHELLS;9972.0;8
11800;;;COCONUT_COUPON;SEASHELLS;606.0;14
11800;;;COCONUT;SEASHELLS;9973.0;5
12800;;;COCONUT_COUPON;SEASHELLS;608.0;11
12900;;;COCONUT;SEASHELLS;9976.0;10
13300;;;COCONUT;SEASHELLS;9975.0;3
13700;;;COCONUT_COUPON;SEASHELLS;609.0;11
14300;;;COCONUT_COUPON;SEASHELLS;607.0;17
14600;;;COCONUT_COUPON;SEASHELLS;608.0;12
14600;;;COCONUT;SEASHELLS;9976.0;6
15800;;;COCONUT_COUPON;SEASHELLS;610.0;6
17600;;;COCONUT_COUPON;SEASHELLS;604.0;20
19700;;;COCONUT_COUPON;SEASHELLS;603.0;12
22700;;;COCONUT_COUPON;SEASHELLS;603.0;12
22800;;;COCONUT;SEASHELLS;9969.0;3
22900;;;COCONUT_COUPON;SEASHELLS;604.0;7
23000;;;COCONUT_COUPON;SEASHELLS;605.0;16
24200;;;COCONUT;SEASHELLS;9967.0;10
24400;;;COCONUT_COUPON;SEASHELLS;607.0;16
25500;;;COCONUT;SEASHELLS;9966.0;10
26600;;;COCONUT_COUPON;SEASHELLS;608.0;17
27000;;;COCONUT_COUPON;SEASHELLS;608.0;7
27300;;;COCONUT;SEASHELLS;9970.0;2
27700;;;COCONUT_COUPON;SEASHELLS;607.0;13
28400;;;COCONUT_COUPON;SEASHELLS;603.0;14
28400;;;COCONUT_COUPON;SEASHELLS;603.0;2
28400;;;COCONUT_COUPON;SEASHELLS;603.0;11
29700;;;COCONUT_COUPON;SEASHELLS;601.0;14
29900;;;COCONUT_COUPON;SEASHELLS;602.0;8
30600;;;COCONUT;SEASHELLS;9963.0;8
30800;;;COCONUT_COUPON;SEASHELLS;601.0;17
31200;;;COCONUT_COUPON;SEASHELLS;602.0;15
31200;;;COCONUT_COUPON;SEASHELLS;602.0;5
31500;;;COCONUT_COUPON;SEASHELLS;604.0;6
31600;;;COCONUT;SEASHELLS;9964.0;5
32000;;;COCONUT;SEASHELLS;9962.0;5
32900;;;COCONUT;SEASHELLS;9963.0;8
33300;;;COCONUT;SEASHELLS;9966.0;1
34300;;;COCONUT_COUPON;SEASHELLS;606.0;14
34300;;;COCONUT;SEASHELLS;9973.0;3
35400;;;COCONUT_COUPON;SEASHELLS;604.0;13
35800;;;COCONUT_COUPON;SEASHELLS;604.0;17
35800;;;COCONUT_COUPON;SEASHELLS;604.0;1
36200;;;COCONUT_COUPON;SEASHELLS;602.0;16
36200;;;COCONUT_COUPON;SEASHELLS;602.0;4
36400;;;COCONUT;SEASHELLS;9970.0;1
36900;;;COCONUT_COUPON;SEASHELLS;604.0;6
37400;;;COCONUT_COUPON;SEASHELLS;602.0;6
